Aquí están los datos que proporcionaste, organizados en el formato que solicitaste, con los valores separados por comas y cada línea separada por un salto de línea:

```
-634,-498,0
-617,-498,0
-601,-498,0
-584,-498,0
-567,-498,0
-551,-498,0
-534,-498,0
-518,-498,0
-501,-498,0
-484,-498,0
-468,-498,0
-451,-498,0
-435,-498,0
-418,-498,0
-401,-498,0
-385,-498,0
-368,-498,0
-352,-498,0
-335,-498,0
-318,-498,0
-302,-498,0
-285,-498,0
-269,-498,0
-252,-498,0
-235,-498,0
-219,-498,0
-202,-498,0
-186,-498,0
-169,-498,0
-152,-498,0
-136,-498,1
-119,-498,1
-103,-498,1
-86,-498,1
-69,-498,1
-53,-498,1
-36,-498,1
-20,-498,1
-3,-498,1
14,-498,1
30,-498,1
47,-498,1
50,-498,1
-650,-383,1
-638,-383,1
-625,-383,1
-612,-383,1
-599,-383,1
-587,-383,1
-574,-383,1
-561,-383,0
-548,-383,0
-536,-383,0
-523,-383,0
-510,-383,0
-497,-383,0
-485,-383,0
-472,-383,0
-459,-383,0
-446,-383,0
-433,-383,0
-421,-383,0
-408,-383,0
-395,-383,0
-382,-383,0
-370,-383,0
-357,-383,0
-344,-383,0
-331,-383,0
-319,-383,0
-306,-383,0
-293,-383,0
-280,-383,0
-268,-383,0
-255,-383,0
-242,-383,0
-229,-383,0
-216,-383,0
-204,-383,0
-191,-383,0
-178,-383,0
-165,-383,0
-153,-383,0
-140,-383,0
-127,-383,0
-114,-383,1
-102,-383,1
-89,-383,1
-76,-383,1
-63,-383,1
-50,-383,1
-38,-383,1
-25,-383,1
-12,-383,1
1,-383,1
13,-383,1
26,-383,1
39,-383,1
50,-383,1
-650,-325,1
-640,-325,1
-629,-325,1
-618,-325,1
-607,-325,1
-596,-325,1
-585,-325,1
-575,-325,0
-564,-325,0
-553,-325,0
-542,-325,0
-531,-325,0
-520,-325,0
-510,-325,0
-499,-325,0
-488,-325,0
-477,-325,0
-466,-325,0
-455,-325,0
-445,-325,0
-434,-325,0
-423,-325,0
-412,-325,0
-401,-325,0
-390,-325,0
-380,-325,0
-369,-325,0
-358,-325,0
-347,-325,0
-336,-325,0
-325,-325,0
-315,-325,0
-304,-325,0
-293,-325,0
-282,-325,0
-271,-325,0
-260,-325,0
-250,-325,0
-239,-325,0
-228,-325,0
-217,-325,0
-206,-325,0
-195,-325,

0
-185,-325,0
-174,-325,0
-163,-325,0
-152,-325,0
-141,-325,0
-130,-325,0
-120,-325,0
-109,-325,0
-98,-325,0
-87,-325,1
-76,-325,1
-65,-325,1
-55,-325,1
-44,-325,1
-33,-325,1
-22,-325,1
-11,-325,1
0,-325,1
10,-325,1
21,-325,1
32,-325,1
43,-325,1
50,-325,1
-650,-438,1
-636,-438,1
-621,-438,1
-607,-438,1
-592,-438,1
-577,-438,1
-563,-438,1
-548,-438,0
-534,-438,0
-519,-438,0
-504,-438,0
-490,-438,0
-475,-438,0
-461,-438,0
-446,-438,0
-431,-438,0
-417,-438,0
-402,-438,0
-388,-438,0
-373,-438,0
-358,-438,0
-344,-438,0
-329,-438,0
-315,-438,0
-300,-438,0
-285,-438,0
-271,-438,0
-256,-438,0
-242,-438,0
-227,-438,0
-212,-438,0
-198,-438,0
-183,-438,0
-169,-438,0
-154,-438,0
-139,-438,0
-125,-438,0
-110,-438,0
-96,-438,1
-81,-438,1
-66,-438,1
-52,-438,1
-37,-438,1
-23,-438,1
-8,-438,1
7,-438,1
21,-438,1
36,-438,1
50,-438,1
-650,-351,1
-639,-351,1
-627,-351,1
-615,-351,1
-604,-351,1
-592,-351,1
-580,-351,1
-569,-351,1
-557,-351,0
-545,-351,0
-533,-351,0
-522,-351,0
-510,-351,0
-498,-351,0
-487,-351,0
-475,-351,0
-463,-351,0
-452,-351,0
-440,-351,0
-428,-351,0
-416,-351,0
-405,-351,0
-393,-351,0
-381,-351,0
-370,-351,0
-358,-351,0
-346,-351,0
-335,-351,0
-323,-351,0
-311,-351,0
-299,-351,0
-288,-351,0
-276,-351,0
-264,-351,0
-253,-351,0
-241,-351,0
-229,-351,0
-218,-351,0
-206,-351,0
-194,-351,0
-182,-351,0
-171,-351,0
-159,-351,0
-147,-351,0
-136,-351,0
-124,-351,0
-112,-351,0
-101,-351,0
-89,-351,0
-77,-351,1
-65,-351,1
-54,-351,1
-42,-351,1
-30,-351,1
-19,-351,1
-7,-351,1
5,-351,1
16,-351,1
28,-351,1
40,-351,1
50,-351,1
-650,-765,1
-625,-765,1
-599,-765,1
-574,-765,1
-548,-765,1
-523,-765,1
-497,-765,1
-472,-765,0
-446,-765,0
-421,-765,0
-395,-765,0
-370,-765,0
-344,-765,0
-319,-765,0
-293,-765,0
